num_features,RF_indexes,SVM_indexes,RFSM_indexes,RF_time,SVM_time,RFSM_time,unreduced_score_forest,RF_scores_forest,SVM_scores_forest,RFSVM_scores_forest,unreduced_train_time_forest,RF_train_time_forest,SVM_train_time_forest,RFSVM_train_time_forest,unreduced_score_svc,RF_scores_svc,SVM_scores_svc,RFSVM_scores_svc,unreduced_train_time_svc,RF_train_time_svc,SVM_train_time_svc,RFSVM_train_time_svc,unreduced_score_knn,RF_scores_knn,SVM_scores_knn,RFSVM_scores_knn,unreduced_train_time_knn,RF_train_time_knn,SVM_train_time_knn,RFSVM_train_time_knn
55,"[3451 2276 3287 2274 1264 3515 3351 3196 2853 3172 2142  914 3581 3173
 1263 3071 3453 3232 3325  530 3199 3133 3070 3261 3454 3389 3517 2213
 2271 3198 3236 3135 3324 3197 3516 3134 2205 3452 3260 3388 2207 3171
 3168 3234 3235 3170 3164 2268 3166 3167 3169 3165 2270 2269 2206]","[ 653 2734 1203  462 2421 3064 1511 2166 2981  790 2174 1787 2224 2524
  552  699 2889 2391 2022  742  391  881 2177  424  599 1777 1454  428
  675 1011 1264 1830 1219 1207 1173 2114 2458 1734 2575 1110 1189  342
 2301 1660 1008 2779 1256  421 3285 2388  103 2742 1719 2381 1039]","[1778  495 3612  463  448 1650 1250 1495 2879 1369 1420 1551  586 1838
  572 2940 1648  557 3607 1747 1617 1493 1433  956 1553 3262 1430  605
  657  592 3234 3454  468 2395 2274  655  552 3199  532  528 2267 3672
 3261 3517  909 3452 3388 3197 1366 1300 1365 2332  588 2269 1238]",147,777,3456,0.8916666666666667,0.5083333333333333,0.7833333333333333,0.7333333333333333,792,139,136,135,0.9166666666666666,0.55,0.8416666666666667,0.775,210,5,5,5,0.6,0.275,0.475,0.5333333333333333,21,1,1,1
58,"[2331  914 3518 4094 3516 3900   63 1551 3838 3576 1427 4030 3514 3515
 3391 3893 3705 3452  528 4095 3836 3829  465 3583 3646 1426  462 3966
  587 3902 3582  463  521 3839 3451  524 3711  892 3647  522 3704  585
 3388 3519  910 3454   62 3775  588 2450 4031 3640 3967  464 1238 3903
  523  956]","[2421 2391  214 1264 2981 2293 1256 1997  881  675 1701 1110 2689 2022
 1626  225 1222  391 1617 2177 2174 1666 1660 1173  836 2779  790  599
  260 1734  342 1454  699 1890 1011  198 1008  321 1323 2458 2224  428
 1511 2575 1189 2388 2166  103 2301  687  424  421 2114 3285 2742 1719
 2381 1039]","[1379  960 2211 1324 1548 1290  544 3983 2592 1617 1299  429 2329 1298
 1179 2464 3684 1484 2528 1494 1300 2939 2466 1295 1555 1258 3386 3450
  321 2403  467 1364  385 1363  526 3517 2392  257 3682 3262  559 2142
  622 3071 3259  593 3196 1114  256 2402 2334 3579 2943  554 3515  561
 2332 2269]",147,784,3466,0.8916666666666667,0.7416666666666667,0.7666666666666667,0.7166666666666667,792,132,135,137,0.9166666666666666,0.7833333333333333,0.85,0.775,210,5,5,5,0.6,0.45,0.5,0.4666666666666667,21,1,1,1
61,"[2346 1449 3284 1579 2342 1322 3263 2207 3286 1583 2214 1647 3109 1585
 3351 3110 1199 2211  530 1258 1646 2344 2401 2277  556 1649 1985 1263
 2273 2338 3135 3350  622 1921  494 3199 1584 2402 1648 1038 2267 1582
 2343 2337 2279 1581 2334 2205  557  914 1256 2278 2274 2206  558 2332
 2271 2333 2268 2270 2269]","[1626  225 2889  881 2734  462  500 2458  526 2198 2611 1997 1278  385
 1984  699 1094 2689  424  836  214 1264  599 1173 1890 1454 2421 1207
 1777 1830  198 1008 1110 2114 2301 1617 1011  547  675 1866 2575  414
 2224  428 1323 2606 2177 1660  552  687 2742 2779 1256  103  421 3285
 2381  342 1719 2388 1039]","[3855 3775  528 3826 1408 1615 1554 1613 1178  401 1522 2944 2274 2884
 1306 1514 3536 3704  400  449  524 1553 3203  532 1536 3920    1  847
 1920 3518 2561 1322 3356 2946 1984 1264 1304 2755 3193 1551  462 2338
  257 3578 2558 1297 3579  530 2369 3450  768  468 3007 3292 1651 2206
 2813 1650 3260 3070 2269]",146,910,3711,0.8916666666666667,0.6333333333333333,0.8166666666666667,0.7333333333333333,792,134,136,134,0.9166666666666666,0.6666666666666666,0.8583333333333333,0.7833333333333333,210,5,5,5,0.6,0.36666666666666664,0.39166666666666666,0.5083333333333333,21,1,1,1
65,"[1262  462 3290 2627 1297 2267 3353  532 3412 3168 3292 1551 3170  529
 3169  528 3263 1263   63 1167 1264  770 1233  463 3166 3164  468 1258
 3167 3349 1174  642  769 3413  466  521  706  467  705 1168 3095  464
  465 3287 3391 3327  530 3351 3352 1232 3288 3289 1237 3350 3160 3165
 3159 2333 2332 3454 1256 2270 1238 2268 2269]","[1787  552  424 2535  321 1997   59 2010  342 2627 2689 2301 2611  653
  687 1777  462 1094 1830 1011 2224 1626  125 1110  881 2293  699 1866
 1219 2022 2103  260 1437 1617  599 2524 2889 1454 1264  198  675 1890
 1008 1189  836 2742 1348  428 1173 1323 2458 2575 2779 2177 2388 2114
 1256 3285 1222 2381 1719  421  103 1660 1039]","[1430  508 1622 3889 1811 1280 2275  128 1613 3168 3738  866 1807 1421
 2404 1617 3761 1171 1450 4030 1026 1433 2645  802  834  642 1649 1323
 1367 3226 1487 3356 3164 1225 3169 2207 3710  657 1166  848  322 3900
 1109 1549  956  320 1552  562 1866  913  512 2395  589 1362 1621 3351
 3286  448 1384 1489 1044 3646 3102 1256 3290]",146,898,3710,0.8916666666666667,0.6416666666666667,0.8333333333333334,0.825,792,141,145,145,0.9166666666666666,0.6166666666666667,0.8416666666666667,0.7916666666666666,210,6,6,6,0.6,0.3333333333333333,0.49166666666666664,0.5166666666666667,21,1,1,1
69,"[3070 2879  912 1152 3788 2970 2212 2338  523 2401 1236  848 2341  910
 1262 1185 2266 1327 3983 2211 1109 2272  982 2403 1261 2337 2273  551
 2969 2971 1326 2972 3166 2207 1075 3167 1301  913 2213 3165 2335 2214
 1237 2277 2274 1178 2402 2330 2342  914 2271 2279 1258 2343 1006 1238
 1256 2205 2204 2278 2331 2206 2267 2334 2333 2332 2270 2268 2269]","[1866 2535 1091  552 1136 2889 2611 1777 2524  225 1219 1011  462  669
 1323 2421 1094 1997 1511 1348 2606   59 2898 2981 1701 1666 2224  836
  547 2022  881 1110  675 2177 1173  342  198  599 1454 1389 1207 1617
 2575  260  699 2458  424 1660 1890  687  214  428 2388  421 2166 2301
  103 1222 2114 2779 1256 1008 3285 1830 2381 1719 2742 1189 1039]","[3297 2426  124 1175 4010 2431 2557 3257 3167  317 1243 3107 1095  892
 2365 3005 3106 1555 2939  252 1727 1323 3132 1407  958 3293 1257 1302
  585  765 2047  970 1021 1983 2275 3296 2266 2044 3229 1297  590  844
 1725 2207 3295 2298 2171 3900 2942 1484 3836 2465 1233 3263 1178 3391
  908 3199 3197 3324  847 1489 1110  846 3290  909  848  912 1238]",148,864,3818,0.8916666666666667,0.65,0.8166666666666667,0.75,792,145,143,142,0.9166666666666666,0.6333333333333333,0.8416666666666667,0.7833333333333333,210,6,6,6,0.6,0.425,0.475,0.4583333333333333,21,1,1,1
73,"[1716 1433 1712  480 2208 1427  911  497 1364 1646 2271 1650  489 1306
 1516 1426  913 1517 1243 1585  553 1651 2211 1300 1652 1073 1452 1303
  849  494 1237 2143 1199 1302  530 1167  552 1324 1363 1264  848 1714
  545 2213 1649 1644  543  910 1301 1388 1643  544 1256 1322 1713 1387
 1709 1263 1323 2207 2268  551  914 1114 2205 1178 2270 2142 1238 1074
 2269 1258 2206]","[1521  431  125  225 1984 2463 1494 2553 1830 2981 2689  669 1837 2166
 1083 2535  777 1997 2611  881 1389  260 1094  607 1626 2301  148 2224
  675  552 2889 2022 1110 2177 1189 1264 1222 1207 1173 2458  599 1454
  424 2606  813  214 1734 2575  428 1866 1666 1660 2779 2524 1617  699
 1511 1008 1890 1323 2114  421  342  103  687  836 2742 3285 1256 1719
 2388 2381 1039]","[ 464 1389 2791 3323   60 1873  686 3791 3792 3704 2335 3819  523  947
 1430 1588  333  928  651 1313 2494 2517 1609 1057 2570 1558  718 1298
 3952 1299 1120 2941 2623 1620 1554 2518 2686 3451  847 1185 3296  850
 3389 2214 1808 3095  699 3263    1 3262 3133 1237 2464 3362 3351 1746
 2142 2267 2330 2907   64 1583  848 3007  802 1264  911 2465 2333 3135
 1868 2268 1304]",150,898,3805,0.8916666666666667,0.6333333333333333,0.8166666666666667,0.8166666666666667,792,141,144,145,0.9166666666666666,0.75,0.8333333333333334,0.85,210,6,6,6,0.6,0.44166666666666665,0.45,0.5833333333333334,21,1,1,1
77,"[2617  187 2298 2935 1533 3062  702 1231 3764 3948 2999 1084 1148  766
 2235 3255 3191 2680 4073  638 1340 1724   62  251 1277  315  635 3884
  124 1788 2299 1213  189  571 3388  699 1085 1149 2744  763 3893 1232
 2871  894  443  893  636  507  830 3127  253  379 1276 1020 3063  509
  829 1238  700  701   60  957 3829  572  573  764  765  252 1021  637
  508  892  316  828  380  444  956]","[ 431 1219  125 1389 1207  790 1348  414 1203 1701 2154 1278  687 1617
 1777 1173 2611 2535 1997 2391 2889  669 1626 1011 2734  462  391 1094
 1264 1830  771  607  198 2981 1666 2166 2524  675  699 2689 2022 2293
 1511 2010  881 2174  424 1110 1189 1008  599 1454  240 1734 2575  342
 1890  836 1866  428 2458 1323 2224 1256 2779 2301 2742 2114 2177 2388
  421 3285  103 1660 1719 2381 1039]","[3131  584 3386 2685 3113  769 1024 3007  679  464 3237 1159 1059 3581
  468  467 1424 1579  719 2812 3846 2449 1197  980 1073 1517 3673 3024
  494  768 1714 3678  738 1011 1487 2398 1449 3454 3580  996 3517 1172
 1486 1114  525 3676 2338 3325 1359  524 3134 1140 2465 3452 2343 3175
 3225 1259 1074  531  532  970 3236  529 1110  848 1300 1203 3111 3233
  913  530 3108 3109  914 3160 3164]",150,859,3733,0.8916666666666667,0.6916666666666667,0.825,0.7083333333333334,792,146,145,146,0.9166666666666666,0.7666666666666667,0.8583333333333333,0.8333333333333334,210,6,6,6,0.6,0.38333333333333336,0.45,0.5083333333333333,21,1,1,1
81,"[ 528 2273 2278  909 3327 2386 1174  490  474  462 4079 2403  553 1301
 2279 2330 2449  463  601  525 2274 3454 2338  468  848 3391 1296 1231
  566  467   64 2265 1237  588  554  432  465 2335  491  911  561 2206
  523  562  944 2337 2329 2343  555 2271 1232  524  558  557  532  556
  464  493  530 1074 2402    0  492 2267  846  495  847  496  497 2331
 2450 2334 1006  910 2270  494 1238 2332 2333 2268 2269]","[1837 2931 1348 2293  125 1777  414  968 2154  517 2689  526 2611 2535
  912 2166 1278 1091  669 2734  240 2889  462 2174 1997 1787 2524 1437
  675 1701   59 1914  881 1511 2391 2022 1219  214  552  342 1830 1256
 1454 1173 1734 1008 2981 2301 1207  391  599  699  421 1866  790 1666
 1660 1890 2177 1264  836  687  428 1323 2224 2575 1110 2742 2779  103
 2458  424 1011 2114 2388 3285 1222 2381 1189 1719 1039]","[3676 1452  258  657 1715 2385  767 1134 2407 1197  194  627 1615  892
  589 3330 3390  880 3675 3888 1096 1709 2511 1158  478 1226  382  770
 3772  629 1517  769  539 1488  565 1193 3137 3134  654 1483  706 2204
 1240  552  383  430  473  563 2840 1489  319 2398 1306 1198  472 1170
 1553  467  593 1329  474  129 1648 3199 1175  498 1107    1   63  716
  557 1159 3454  320 1550  846  909 2337 1301 2402 1256]",152,902,3838,0.8916666666666667,0.65,0.85,0.7666666666666667,792,153,157,152,0.9166666666666666,0.7916666666666666,0.8583333333333333,0.8916666666666667,210,6,6,6,0.6,0.45,0.4583333333333333,0.5083333333333333,21,1,1,1
85,"[ 521 3197 3350  462 3286 1239  585 2342 3389 3199 1120 3174 1074 3198
  907 3514 3580  963 3232 2334 4014 1237 3134 3109 2972 1121 3351 1174
 3579  716  970 3164 3951 3324 1256 3643 2402 3110  908 3388 3172 3260
 2214  909 1303 2278 3356  910 3454 1038 4078 2206 3355 2277 3170 4015
 3292 3515 3452 3354 2213 3451 3169 3171 3173 3352 3353 2333 2270 3287
 3516  914 3165 3291 2332 3168 2269 2268 4079 1238 3288 3290 3166 3167
 3289]","[2154  161 2931 1666 1264 1653 1091 2611 1348 2606  687  125 1837 2463
 1399   59 1629 3566  547  607  225  881 2981 2535 1056 1984 1997  198
  669 1626 1787 2734 2689  462 2391 1617 2224 1094 1701 1189 2524  675
 1830  414  586 1222  599  836  240 2889  260 1173 3064 1454 1011 1207
  214 1256  342  424 1660 2388 2779 1008  321 1511  428 1323 2022 2458
 2114 1734  699 2166 1110 2301 2575 2177 3285 2742 2381 1719  103  421
 1039]","[3705 2875 3819  946  594 1421 3326 1494  809 1171 1358  749 3290  616
 1538  750  574 1075  511  573 1491  691 2178  536  957  669 2203 1102
 3634  704  619  652 3111 3836 3386 1290 3642 1276 2336  834  718  746
  892  194 3007 2813 3514 3135 2079  694  621 3164 2266 2814 1490 1489
 1329 2329 1304 1231 2214 2397  492 1420 2879 3707 1361 3261 2142 2940
 3196 1250  494  914  321 1298  576    1  911  785 3260  128   64 1297
 1301]",146,884,3823,0.8916666666666667,0.7,0.8583333333333333,0.7833333333333333,792,151,154,160,0.9166666666666666,0.675,0.8916666666666667,0.8333333333333334,210,7,7,7,0.6,0.425,0.475,0.4583333333333333,21,1,1,1
89,"[ 256 2277  560  257 3704 1297  459 4015  561  520 1295 3887 3291 1238
    0  192  497  458 2343  559 3135 2402  467  494 3324  466 2267 3640
  593 3388  384  557  600 2204  849 2278 3951 1296 3263 3357 3356 3581
 3260 2213  848 4079  512  460 2211 3515 3517 2334 3292 3199  448 2205
  587  461 3516 3452 3451  521  465  463 3454  462  588 2206  522 2270
  558  525  585  464  601  531 2331  532  524  527  523  526 2269 2268
 2333  529  528 2332  530]","[2193 2761 2103 1837 1083  653 1564 2767  785 2871 1389  260 2010 1399
 2981 1091  125  699 2889 1404 1734 1666 1128 1777 2154 1085 1437  321
 2611  669 2535 1984 1701 2689 2734  881  500 1866  462 1617 2391 1348
 2458  607 2898 2301  675  552 1830 2022 1219 1511  214  414 1173  599
 2166 1454 1207 2421  342 1222 1660 1890 2575 1189  198 2388 2224 1008
 2177 1110 1323  428 1997  103 1011  836 2779 2114 3285 2381  424 2742
 1719 1256  421 1264 1039]","[3513 1407 2803 2817 2933 1551 3757  512 3769 2932 1427 3442 1979  795
 1167 3635 3319 1727  465 2869 3129 3883 2938 2200 2426 2868 3258 2934
 2853 1265  191 2330 2804 1916 3060 2807 2618  705 1871 1086 3192 2747
 1868  462 2931 2044 2431 3889 3001  315  480  635 3775 3190 3634 1788
 3390  510 3064 1020 2999  702 3583 3893 2620 2334 2491  544 2621 2877
 2941  574 3326  893 2428 3062 3519  125 3263 2333  317 2268 3197  509
  252 3135  956 3134  380]",145,902,3786,0.8916666666666667,0.6916666666666667,0.875,0.8166666666666667,792,152,155,154,0.9166666666666666,0.7333333333333333,0.8583333333333333,0.8333333333333334,210,7,7,7,0.6,0.39166666666666666,0.45,0.475,21,1,1,1
93,"[ 913 2204 2214 3450 3194 3069 2143 3323 2278 3233 3066 3263 3174 1258
 2273  529 3288 3579 3259 3514 3386 3350 3068 2211 1232 3643 3163 3737
 2277 3352 1643 3326 3132 3262 2212 1238 3162 3580 3451 2276 3287 2274
 1264 3515 3351 3196 2853 3172 2142  914 3581 3173 1263 3071 3453 3232
 3325  530 3199 3133 3070 3261 3454 3389 3517 2213 2271 3198 3236 3135
 3324 3197 3516 3134 2205 3452 3260 3388 2207 3171 3168 3234 3235 3170
 3164 2268 3166 3167 3169 3165 2270 2269 2206]","[2689  968 1399 2898 2767  627 1323 2412 1626 1222  547 1984 3378  148
 1653  431 1389 1666 1348  125 1437 2627  836  575 1890  260 1701 2154
  198  240  526 1997 1866 2611  214  669 2535  687  653 2734 1203  462
 2421 3064 1511 2166 2981  790 2174 1787 2224 2524  552  699 2889 2391
 2022  742  391  881 2177  424  599 1777 1454  428  675 1011 1264 1830
 1219 1207 1173 2114 2458 1734 2575 1110 1189  342 2301 1660 1008 2779
 1256  421 3285 2388  103 2742 1719 2381 1039]","[1379  470 3233 3352 1663  610 1251 3107 2149 2143 2388 3228 1114 1218
  502  831  621 3386 1471 3131  584  957 2140 1743  542  603 3855 2150
 1906  575 1516 2212 1307 3102  489  611  573  615 1778  495 3612  463
  448 1650 1250 1495 2879 1369 1420 1551  586 1838  572 2940 1648  557
 3607 1747 1617 1493 1433  956 1553 3262 1430  605  657  592 3234 3454
  468 2395 2274  655  552 3199  532  528 2267 3672 3261 3517  909 3452
 3388 3197 1366 1300 1365 2332  588 2269 1238]",150,901,3890,0.8916666666666667,0.5833333333333334,0.8333333333333334,0.7833333333333333,792,156,155,157,0.9166666666666666,0.5583333333333333,0.8916666666666667,0.8416666666666667,210,7,7,7,0.6,0.4,0.5083333333333333,0.55,21,1,1,1
97,"[3579  383 3765 3577 3710 1488 2388 2511 1550 3578  458 2400  846 3772
  126 4079 3387 2332  444 3641  828 3951 3888 3323 1263 1167 3450  909
  127 3769 1231 1363  589  911 2386 1489  461 1020 3512 2331  914 3518
 4094 3516 3900   63 1551 3838 3576 1427 4030 3514 3515 3391 3893 3705
 3452  528 4095 3836 3829  465 3583 3646 1426  462 3966  587 3902 3582
  463  521 3839 3451  524 3711  892 3647  522 3704  585 3388 3519  910
 3454   62 3775  588 2450 4031 3640 3967  464 1238 3903  523  956]","[ 991 2463  742 2767 1056 2871 2931 2734 1399  547  965 3064 2962 1653
  125 1389 1592  586 1984 1094 1437 2154  292  785 3108 1866  669 2535
 1684  653 1091  240 2524 2889  414  462 1837 2606 1207 2421 2391  214
 1264 2981 2293 1256 1997  881  675 1701 1110 2689 2022 1626  225 1222
  391 1617 2177 2174 1666 1660 1173  836 2779  790  599  260 1734  342
 1454  699 1890 1011  198 1008  321 1323 2458 2224  428 1511 2575 1189
 2388 2166  103 2301  687  424  421 2114 3285 2742 1719 2381 1039]","[2653 1674 3192  478  418  387 3127 1547 2453 3073 1927  584 2343 1357
  419 2518 2494 1673  612  258 3840 1539 2519  785 1424 1452 1105 4034
 1443 1919 3677 1231 2335 2337  624  594  603 1293 2339 1379  960 2211
 1324 1548 1290  544 3983 2592 1617 1299  429 2329 1298 1179 2464 3684
 1484 2528 1494 1300 2939 2466 1295 1555 1258 3386 3450  321 2403  467
 1364  385 1363  526 3517 2392  257 3682 3262  559 2142  622 3071 3259
  593 3196 1114  256 2402 2334 3579 2943  554 3515  561 2332 2269]",150,908,3885,0.8916666666666667,0.775,0.8,0.775,792,152,156,157,0.9166666666666666,0.8333333333333334,0.9083333333333333,0.8166666666666667,210,7,8,7,0.6,0.5,0.5083333333333333,0.49166666666666664,21,1,1,2
